Token          | Atom ID | TS Position
----------------------------------------
int            | 2       | -1          
main           | 5       | -1          
(              | 26      | -1          
)              | 27      | -1          
{              | 28      | -1          
int            | 2       | -1          
radius         | 0       | 1           
;              | 31      | -1          
double         | 3       | -1          
area           | 0       | 2           
,              | 30      | -1          
perim          | 0       | 3           
;              | 31      | -1          
something      | 0       | 4           
something      | 0       | 4           
;              | 31      | -1          
;              | 31      | -1          
;              | 31      | -1          
cout           | 6       | -1          
<<             | 15      | -1          
"r="           | 1       | 5           
;              | 31      | -1          
cin            | 7       | -1          
>>             | 16      | -1          
radius         | 0       | 1           
;              | 31      | -1          
area           | 0       | 2           
=              | 17      | -1          
3.14           | 1       | 6           
*              | 14      | -1          
radius         | 0       | 1           
*              | 14      | -1          
radius         | 0       | 1           
;              | 31      | -1          
perim          | 0       | 3           
=              | 17      | -1          
2              | 1       | 7           
*              | 14      | -1          
3.14           | 1       | 6           
*              | 14      | -1          
radius         | 0       | 1           
;              | 31      | -1          
cout           | 6       | -1          
<<             | 15      | -1          
"area:"        | 1       | 8           
<<             | 15      | -1          
area           | 0       | 2           
<<             | 15      | -1          
endl           | 11      | -1          
;              | 31      | -1          
cout           | 6       | -1          
<<             | 15      | -1          
;              | 31      | -1          
cout           | 6       | -1          
<<             | 15      | -1          
"perim:"       | 1       | 9           
<<             | 15      | -1          
perim          | 0       | 3           
<<             | 15      | -1          
endl           | 11      | -1          
;              | 31      | -1          
