1. (ID: 48, Score: 738)
2. (ID: 1010, Score: 725)
3. (ID: 56, Score: 715)
4. (ID: 4039, Score: 708)
5. (ID: 15, Score: 706)
6. (ID: 1031, Score: 704)
7. (ID: 3044, Score: 696)
8. (ID: 1008, Score: 683)
9. (ID: 3057, Score: 679)
10. (ID: 1071, Score: 675)
11. (ID: 2085, Score: 674)
12. (ID: 3002, Score: 669)
13. (ID: 4063, Score: 668)
14. (ID: 1028, Score: 664)
15. (ID: 3056, Score: 651)
16. (ID: 4007, Score: 649)
17. (ID: 2060, Score: 642)
18. (ID: 2032, Score: 642)
19. (ID: 6, Score: 640)
20. (ID: 3007, Score: 638)
21. (ID: 4029, Score: 637)
22. (ID: 19, Score: 636)
23. (ID: 4038, Score: 633)
24. (ID: 66, Score: 633)
25. (ID: 2015, Score: 631)
26. (ID: 1059, Score: 629)
27. (ID: 2071, Score: 628)
28. (ID: 1020, Score: 627)
29. (ID: 1019, Score: 627)
30. (ID: 3018, Score: 625)
31. (ID: 2048, Score: 625)
32. (ID: 46, Score: 624)
33. (ID: 2010, Score: 622)
34. (ID: 61, Score: 621)
35. (ID: 3031, Score: 618)
36. (ID: 3011, Score: 617)
37. (ID: 1025, Score: 616)
38. (ID: 1048, Score: 615)
39. (ID: 2061, Score: 614)
40. (ID: 3035, Score: 611)
41. (ID: 1077, Score: 611)
42. (ID: 62, Score: 611)
43. (ID: 4003, Score: 610)
44. (ID: 4077, Score: 609)
45. (ID: 4045, Score: 608)
46. (ID: 3022, Score: 606)
47. (ID: 3046, Score: 605)
48. (ID: 4096, Score: 602)
49. (ID: 3024, Score: 602)
50. (ID: 1092, Score: 602)
51. (ID: 3016, Score: 600)
52. (ID: 1039, Score: 598)
53. (ID: 67, Score: 596)
54. (ID: 4059, Score: 595)
55. (ID: 4021, Score: 595)
56. (ID: 4076, Score: 594)
57. (ID: 3062, Score: 594)
58. (ID: 4099, Score: 589)
59. (ID: 4057, Score: 589)
60. (ID: 2038, Score: 589)
61. (ID: 4070, Score: 585)
62. (ID: 4027, Score: 585)
63. (ID: 1017, Score: 582)
64. (ID: 1004, Score: 581)
65. (ID: 1021, Score: 580)
66. (ID: 1093, Score: 579)
67. (ID: 3051, Score: 578)
68. (ID: 3064, Score: 576)
69. (ID: 3009, Score: 576)
70. (ID: 7, Score: 576)
71. (ID: 1, Score: 576)
72. (ID: 1080, Score: 574)
73. (ID: 4030, Score: 572)
74. (ID: 2025, Score: 572)
75. (ID: 4005, Score: 571)
76. (ID: 3058, Score: 571)
77. (ID: 2049, Score: 571)
78. (ID: 4050, Score: 570)
79. (ID: 4031, Score: 570)
80. (ID: 3052, Score: 570)
81. (ID: 1061, Score: 570)
82. (ID: 1034, Score: 570)
83. (ID: 24, Score: 570)
84. (ID: 4091, Score: 569)
85. (ID: 1094, Score: 569)
86. (ID: 2081, Score: 566)
87. (ID: 1056, Score: 565)
88. (ID: 1013, Score: 564)
89. (ID: 3068, Score: 561)
90. (ID: 2058, Score: 561)
91. (ID: 3003, Score: 560)
92. (ID: 1078, Score: 560)
93. (ID: 4044, Score: 559)
94. (ID: 4004, Score: 559)
95. (ID: 1075, Score: 555)
96. (ID: 1060, Score: 555)
97. (ID: 1016, Score: 555)
98. (ID: 2069, Score: 554)
99. (ID: 71, Score: 554)
100. (ID: 3005, Score: 552)
101. (ID: 1026, Score: 552)
102. (ID: 3, Score: 552)
103. (ID: 1066, Score: 551)
104. (ID: 79, Score: 551)
105. (ID: 3059, Score: 550)
106. (ID: 2062, Score: 549)
107. (ID: 2011, Score: 549)
108. (ID: 57, Score: 548)
109. (ID: 2, Score: 548)
110. (ID: 4047, Score: 547)
111. (ID: 1087, Score: 545)
112. (ID: 1063, Score: 545)
113. (ID: 1073, Score: 543)
114. (ID: 4041, Score: 542)
115. (ID: 3079, Score: 542)
116. (ID: 1014, Score: 542)
117. (ID: 2023, Score: 540)
118. (ID: 2006, Score: 537)
119. (ID: 3030, Score: 536)
120. (ID: 1029, Score: 536)
121. (ID: 3053, Score: 534)
122. (ID: 2043, Score: 534)
123. (ID: 75, Score: 534)
124. (ID: 3073, Score: 533)
125. (ID: 1041, Score: 533)
126. (ID: 36, Score: 533)
127. (ID: 4079, Score: 532)
128. (ID: 55, Score: 532)
129. (ID: 1009, Score: 531)
130. (ID: 1069, Score: 530)
131. (ID: 22, Score: 528)
132. (ID: 10, Score: 528)
133. (ID: 2077, Score: 527)
134. (ID: 4097, Score: 526)
135. (ID: 63, Score: 526)
136. (ID: 4033, Score: 525)
137. (ID: 41, Score: 525)
138. (ID: 4052, Score: 524)
139. (ID: 4093, Score: 523)
140. (ID: 4094, Score: 523)
141. (ID: 2012, Score: 523)
142. (ID: 50, Score: 523)
143. (ID: 2067, Score: 522)
144. (ID: 78, Score: 522)
145. (ID: 4074, Score: 520)
146. (ID: 2089, Score: 520)
147. (ID: 16, Score: 518)
148. (ID: 74, Score: 517)
149. (ID: 72, Score: 517)
150. (ID: 3040, Score: 516)
151. (ID: 2084, Score: 516)
152. (ID: 2026, Score: 514)
153. (ID: 1065, Score: 514)
154. (ID: 21, Score: 513)
155. (ID: 4053, Score: 512)
156. (ID: 3067, Score: 512)
157. (ID: 3004, Score: 512)
158. (ID: 49, Score: 511)
159. (ID: 4040, Score: 510)
160. (ID: 3077, Score: 509)
161. (ID: 3032, Score: 509)
162. (ID: 2036, Score: 509)
163. (ID: 1045, Score: 509)
164. (ID: 2055, Score: 507)
165. (ID: 2046, Score: 507)
166. (ID: 2030, Score: 507)
167. (ID: 1083, Score: 507)
168. (ID: 32, Score: 507)
169. (ID: 4068, Score: 504)
170. (ID: 3008, Score: 504)
171. (ID: 2086, Score: 504)
172. (ID: 1002, Score: 503)
173. (ID: 3048, Score: 501)
174. (ID: 4089, Score: 500)
175. (ID: 4011, Score: 499)
176. (ID: 3071, Score: 499)
177. (ID: 3043, Score: 499)
