1. (ID: 3019, Score: 740)
2. (ID: 2062, Score: 730)
3. (ID: 26, Score: 713)
4. (ID: 1009, Score: 711)
5. (ID: 4057, Score: 710)
6. (ID: 4070, Score: 703)
7. (ID: 3077, Score: 694)
8. (ID: 1003, Score: 694)
9. (ID: 2007, Score: 692)
10. (ID: 2053, Score: 670)
11. (ID: 54, Score: 666)
12. (ID: 49, Score: 665)
13. (ID: 2035, Score: 663)
14. (ID: 1043, Score: 637)
15. (ID: 2087, Score: 633)
16. (ID: 1004, Score: 630)
17. (ID: 41, Score: 625)
18. (ID: 1082, Score: 623)
19. (ID: 52, Score: 622)
20. (ID: 4079, Score: 620)
21. (ID: 3013, Score: 620)
22. (ID: 2045, Score: 619)
23. (ID: 4086, Score: 617)
24. (ID: 1077, Score: 616)
25. (ID: 1031, Score: 614)
26. (ID: 2001, Score: 613)
27. (ID: 3001, Score: 611)
28. (ID: 44, Score: 611)
29. (ID: 4026, Score: 610)
30. (ID: 2006, Score: 609)
31. (ID: 7, Score: 608)
32. (ID: 2046, Score: 606)
33. (ID: 1054, Score: 605)
34. (ID: 1081, Score: 604)
35. (ID: 4041, Score: 603)
36. (ID: 2051, Score: 603)
37. (ID: 1053, Score: 603)
38. (ID: 1048, Score: 603)
39. (ID: 1016, Score: 603)
40. (ID: 2064, Score: 602)
41. (ID: 1008, Score: 601)
42. (ID: 9, Score: 601)
43. (ID: 3047, Score: 600)
44. (ID: 2090, Score: 600)
45. (ID: 2040, Score: 599)
46. (ID: 3062, Score: 598)
47. (ID: 3011, Score: 597)
48. (ID: 1038, Score: 596)
49. (ID: 3034, Score: 595)
50. (ID: 2085, Score: 594)
51. (ID: 77, Score: 594)
52. (ID: 3083, Score: 593)
53. (ID: 82, Score: 593)
54. (ID: 3091, Score: 592)
55. (ID: 4043, Score: 590)
56. (ID: 2068, Score: 589)
57. (ID: 2052, Score: 589)
58. (ID: 2100, Score: 587)
59. (ID: 2017, Score: 587)
60. (ID: 69, Score: 587)
61. (ID: 4015, Score: 586)
62. (ID: 62, Score: 586)
63. (ID: 4076, Score: 585)
64. (ID: 2060, Score: 585)
65. (ID: 1066, Score: 584)
66. (ID: 2063, Score: 583)
67. (ID: 1067, Score: 583)
68. (ID: 24, Score: 579)
69. (ID: 3076, Score: 578)
70. (ID: 3052, Score: 578)
71. (ID: 3088, Score: 577)
72. (ID: 1052, Score: 577)
73. (ID: 2030, Score: 576)
74. (ID: 1051, Score: 576)
75. (ID: 3082, Score: 575)
76. (ID: 3046, Score: 575)
77. (ID: 4056, Score: 574)
78. (ID: 4048, Score: 573)
79. (ID: 4020, Score: 573)
80. (ID: 1035, Score: 573)
81. (ID: 2057, Score: 572)
82. (ID: 67, Score: 572)
83. (ID: 61, Score: 572)
84. (ID: 2088, Score: 571)
85. (ID: 1055, Score: 571)
86. (ID: 17, Score: 571)
87. (ID: 4073, Score: 570)
88. (ID: 40, Score: 568)
89. (ID: 3078, Score: 566)
90. (ID: 2029, Score: 566)
91. (ID: 4014, Score: 565)
92. (ID: 2069, Score: 565)
93. (ID: 2098, Score: 563)
94. (ID: 3009, Score: 562)
95. (ID: 2049, Score: 562)
96. (ID: 3058, Score: 560)
97. (ID: 1012, Score: 560)
98. (ID: 1006, Score: 560)
99. (ID: 4030, Score: 559)
100. (ID: 4010, Score: 559)
101. (ID: 1037, Score: 559)
102. (ID: 2097, Score: 558)
103. (ID: 1007, Score: 558)
104. (ID: 53, Score: 558)
105. (ID: 2061, Score: 557)
106. (ID: 1017, Score: 557)
107. (ID: 46, Score: 556)
108. (ID: 16, Score: 556)
109. (ID: 2080, Score: 555)
110. (ID: 3048, Score: 553)
111. (ID: 2076, Score: 553)
112. (ID: 2089, Score: 552)
113. (ID: 1029, Score: 550)
114. (ID: 22, Score: 550)
115. (ID: 3006, Score: 549)
116. (ID: 1014, Score: 548)
117. (ID: 10, Score: 548)
118. (ID: 4083, Score: 547)
119. (ID: 4051, Score: 547)
120. (ID: 4033, Score: 547)
121. (ID: 2009, Score: 547)
122. (ID: 1018, Score: 547)
123. (ID: 8, Score: 546)
124. (ID: 4005, Score: 545)
125. (ID: 4009, Score: 544)
126. (ID: 1030, Score: 544)
127. (ID: 2014, Score: 543)
128. (ID: 42, Score: 543)
129. (ID: 3042, Score: 542)
130. (ID: 76, Score: 541)
131. (ID: 74, Score: 540)
132. (ID: 3026, Score: 538)
133. (ID: 2036, Score: 537)
134. (ID: 1078, Score: 535)
135. (ID: 3037, Score: 534)
136. (ID: 1011, Score: 533)
137. (ID: 4035, Score: 532)
138. (ID: 2020, Score: 532)
139. (ID: 2072, Score: 532)
140. (ID: 1015, Score: 532)
141. (ID: 21, Score: 532)
142. (ID: 1047, Score: 530)
143. (ID: 1020, Score: 528)
144. (ID: 4062, Score: 526)
145. (ID: 4032, Score: 525)
146. (ID: 4001, Score: 525)
147. (ID: 1056, Score: 525)
148. (ID: 4050, Score: 524)
149. (ID: 1072, Score: 524)
150. (ID: 4040, Score: 521)
151. (ID: 4061, Score: 520)
152. (ID: 2027, Score: 520)
153. (ID: 36, Score: 519)
154. (ID: 4054, Score: 518)
155. (ID: 2042, Score: 518)
156. (ID: 1049, Score: 517)
157. (ID: 14, Score: 515)
158. (ID: 3004, Score: 514)
159. (ID: 2086, Score: 514)
160. (ID: 1013, Score: 514)
161. (ID: 4046, Score: 513)
162. (ID: 2084, Score: 513)
163. (ID: 4, Score: 513)
164. (ID: 2012, Score: 512)
165. (ID: 4022, Score: 511)
166. (ID: 3021, Score: 511)
167. (ID: 1075, Score: 511)
168. (ID: 1071, Score: 511)
169. (ID: 4088, Score: 508)
170. (ID: 1062, Score: 508)
171. (ID: 1060, Score: 507)
172. (ID: 2055, Score: 506)
173. (ID: 1045, Score: 506)
174. (ID: 57, Score: 506)
175. (ID: 1069, Score: 505)
176. (ID: 2022, Score: 504)
177. (ID: 60, Score: 504)
178. (ID: 6, Score: 504)
179. (ID: 3057, Score: 503)
180. (ID: 3028, Score: 502)
181. (ID: 1034, Score: 502)
182. (ID: 4055, Score: 501)
183. (ID: 3029, Score: 501)
