1. (ID: 48, Country: 1, Score: 738)
2. (ID: 1010, Country: 2, Score: 725)
3. (ID: 56, Country: 1, Score: 715)
4. (ID: 4039, Country: 5, Score: 708)
5. (ID: 15, Country: 1, Score: 706)
6. (ID: 1031, Country: 2, Score: 704)
7. (ID: 3044, Country: 4, Score: 696)
8. (ID: 1008, Country: 2, Score: 683)
9. (ID: 3057, Country: 4, Score: 679)
10. (ID: 1071, Country: 2, Score: 675)
11. (ID: 2085, Country: 3, Score: 674)
12. (ID: 3002, Country: 4, Score: 669)
13. (ID: 4063, Country: 5, Score: 668)
14. (ID: 1028, Country: 2, Score: 664)
15. (ID: 3056, Country: 4, Score: 651)
16. (ID: 4007, Country: 5, Score: 649)
17. (ID: 2032, Country: 3, Score: 642)
18. (ID: 2060, Country: 3, Score: 642)
19. (ID: 6, Country: 1, Score: 640)
20. (ID: 3007, Country: 4, Score: 638)
21. (ID: 4029, Country: 5, Score: 637)
22. (ID: 19, Country: 1, Score: 636)
23. (ID: 66, Country: 1, Score: 633)
24. (ID: 4038, Country: 5, Score: 633)
25. (ID: 2015, Country: 3, Score: 631)
26. (ID: 1059, Country: 2, Score: 629)
27. (ID: 2071, Country: 3, Score: 628)
28. (ID: 1019, Country: 2, Score: 627)
29. (ID: 1020, Country: 2, Score: 627)
30. (ID: 2048, Country: 3, Score: 625)
31. (ID: 3018, Country: 4, Score: 625)
32. (ID: 46, Country: 1, Score: 624)
33. (ID: 2010, Country: 3, Score: 622)
34. (ID: 61, Country: 1, Score: 621)
35. (ID: 3031, Country: 4, Score: 618)
36. (ID: 3011, Country: 4, Score: 617)
37. (ID: 1025, Country: 2, Score: 616)
38. (ID: 1048, Country: 2, Score: 615)
39. (ID: 2061, Country: 3, Score: 614)
40. (ID: 62, Country: 1, Score: 611)
41. (ID: 1077, Country: 2, Score: 611)
42. (ID: 3035, Country: 4, Score: 611)
43. (ID: 4003, Country: 5, Score: 610)
44. (ID: 4077, Country: 5, Score: 609)
45. (ID: 4045, Country: 5, Score: 608)
46. (ID: 3022, Country: 4, Score: 606)
47. (ID: 3046, Country: 4, Score: 605)
48. (ID: 1092, Country: 2, Score: 602)
49. (ID: 3024, Country: 4, Score: 602)
50. (ID: 4096, Country: 5, Score: 602)
51. (ID: 3016, Country: 4, Score: 600)
52. (ID: 1039, Country: 2, Score: 598)
53. (ID: 67, Country: 1, Score: 596)
54. (ID: 4021, Country: 5, Score: 595)
55. (ID: 4059, Country: 5, Score: 595)
56. (ID: 3062, Country: 4, Score: 594)
57. (ID: 4076, Country: 5, Score: 594)
58. (ID: 2038, Country: 3, Score: 589)
59. (ID: 4057, Country: 5, Score: 589)
60. (ID: 4099, Country: 5, Score: 589)
61. (ID: 4027, Country: 5, Score: 585)
62. (ID: 4070, Country: 5, Score: 585)
63. (ID: 1017, Country: 2, Score: 582)
64. (ID: 1004, Country: 2, Score: 581)
65. (ID: 1021, Country: 2, Score: 580)
66. (ID: 1093, Country: 2, Score: 579)
67. (ID: 3051, Country: 4, Score: 578)
68. (ID: 1, Country: 1, Score: 576)
69. (ID: 7, Country: 1, Score: 576)
70. (ID: 3009, Country: 4, Score: 576)
